Province,County,Zip,GB1999,FullName,Latitude,Longitude,Latency
镇江市,丹徒区,212100,p320000/c321100/x321112,江苏省镇江市丹徒区, 32.131962 , 119.433854,466670.475
镇江市,扬中市,212200,p320000/c321100/x321182,江苏省镇江市扬中市, 32.234827 , 119.797409,959327.289
镇江市,丹阳市,212300,p320000/c321100/x321181,江苏省镇江市丹阳市, 32.010117 , 119.606536,217594.2235
镇江市,句容市,212400,p320000/c321100/x321183,江苏省镇江市句容市, 31.944999 , 119.168695,325851.9375
盐城市,盐都区,224000,p320000/c320900/x320903,江苏省盐城市盐都区, 33.338110 , 120.153888,777663.933
盐城市,大丰市,224100,p320000/c320900/x320982,江苏省盐城市大丰市, 33.198697 , 120.501101,10925.658
盐城市,东台市,224200,p320000/c320900/x320981,江苏省盐城市东台市, 32.866933 , 120.320752,102924.0675
盐城市,射阳县,224300,p320000/c320900/x320924,江苏省盐城市射阳县, 33.774806 , 120.258053,323632.227
盐城市,阜宁县,224400,p320000/c320900/x320923,江苏省盐城市阜宁县, 33.759325 , 119.802527,223888.0825
盐城市,滨海县,224500,p320000/c320900/x320922,江苏省盐城市滨海县, 33.990334 , 119.820831,223888.0825
盐城市,响水县,224600,p320000/c320900/x320921,江苏省盐城市响水县, 34.199479 , 119.578364,249113.82
盐城市,建湖县,224700,p320000/c320900/x320925,江苏省盐城市建湖县, 33.472621 , 119.793105,305010.8395
